Date,Open,High,Low,Close,Volume,Market Cap
06/13/17,0.638503,0.652862,0.53391,0.590255,"25,425,600","1,774,740,000"
06/14/17,0.592347,0.606196,0.495745,0.528916,"14,194,900","1,646,450,000"
06/15/17,0.528284,0.543165,0.300365,0.363661,"10,300,400","1,468,380,000"
06/16/17,0.353285,0.448249,0.309852,0.410757,"6,920,690","981,966,000"
06/17/17,0.426762,0.444205,0.414139,0.419906,"3,100,660","1,186,200,000"
06/18/17,0.420597,0.426069,0.39379,0.405862,"2,514,450","1,169,060,000"
06/19/17,0.405456,0.42099,0.388231,0.412183,"3,543,640","1,126,980,000"
06/20/17,0.414299,0.422032,0.398649,0.418494,"3,755,470","1,151,560,000"
06/21/17,0.419439,0.43734,0.405037,0.413547,"3,999,810","1,165,840,000"
06/22/17,0.413371,0.427283,0.407261,0.417742,"2,343,320","1,148,980,000"
06/23/17,0.417769,0.48091,0.408405,0.48091,"3,768,560","1,161,200,000"
06/24/17,0.482769,0.635612,0.482769,0.51291,"19,215,500","1,341,870,000"
06/25/17,0.514185,0.525564,0.454951,0.470941,"5,012,890","1,429,190,000"
06/26/17,0.470192,0.473662,0.351156,0.402438,"9,101,080","1,306,910,000"
06/27/17,0.411989,0.420035,0.353549,0.392269,"4,411,090","1,145,140,000"
06/28/17,0.399874,0.399874,0.357338,0.379136,"4,704,400","1,111,460,000"
06/29/17,0.375767,0.459387,0.361568,0.417798,"5,324,020","1,044,460,000"
06/30/17,0.417167,0.453008,0.398195,0.401591,"5,044,270","1,159,530,000"
07/01/17,0.402295,0.414192,0.381489,0.38963,"2,334,640","1,118,190,000"
07/02/17,0.39188,0.39689,0.366798,0.382249,"2,971,770","1,089,240,000"
07/03/17,0.379055,0.384955,0.356024,0.376139,"3,873,180","1,053,600,000"
07/04/17,0.3749,0.410698,0.373865,0.39639,"3,933,710","1,042,050,000"
07/05/17,0.396273,0.400841,0.371809,0.38013,"3,061,100","1,101,450,000"
07/06/17,0.380253,0.382865,0.317295,0.35388,"8,218,370","1,056,920,000"
07/07/17,0.355803,0.355994,0.271859,0.284565,"8,804,780","988,966,000"
07/08/17,0.286164,0.320908,0.281393,0.305515,"3,273,950","795,402,000"
07/09/17,0.297377,0.31277,0.285475,0.302889,"2,474,500","826,569,000"
07/10/17,0.304476,0.304476,0.190539,0.217061,"8,233,640","846,301,000"
07/11/17,0.214742,0.231574,0.185681,0.187596,"6,946,200","596,881,000"
07/12/17,0.191125,0.237362,0.183955,0.228758,"4,646,480","531,237,000"
07/13/17,0.229099,0.238625,0.194249,0.214589,"4,129,150","636,787,000"
07/14/17,0.212999,0.214112,0.161877,0.17535,"3,347,860","592,038,000"
07/15/17,0.175237,0.176099,0.147933,0.158688,"3,913,220","487,076,000"
07/16/17,0.157961,0.185445,0.155173,0.180978,"4,178,170","439,057,000"
07/17/17,0.180717,0.278088,0.179114,0.263105,"15,254,300","502,309,000"
07/18/17,0.264569,0.309577,0.248754,0.26734,"11,433,600","735,378,000"
07/19/17,0.268162,0.284031,0.230686,0.232212,"6,339,730","745,365,000"
07/20/17,0.233503,0.298253,0.232192,0.29246,"10,332,500","649,028,000"
07/21/17,0.29476,0.305506,0.257626,0.264134,"6,344,870","819,295,000"
07/22/17,0.26339,0.278936,0.254406,0.273382,"4,107,430","732,099,000"
07/23/17,0.273693,0.280241,0.258485,0.269072,"3,065,860","760,738,000"
07/24/17,0.265136,0.273468,0.242731,0.266447,"4,502,060","736,952,000"
07/25/17,0.266827,0.269072,0.237998,0.250453,"2,917,500","741,654,000"
07/26/17,0.250571,0.283478,0.241237,0.274598,"4,626,790","696,469,000"
07/27/17,0.27685,0.285551,0.275467,0.275467,"3,343,540","769,512,000"
07/28/17,0.274876,0.278459,0.262736,0.265118,"2,884,740","764,026,000"
07/29/17,0.266567,0.277226,0.245848,0.27519,"2,788,270","740,931,000"
07/30/17,0.277339,0.279401,0.252831,0.254785,"3,165,840","770,872,000"
07/31/17,0.255064,0.25981,0.245768,0.254732,"2,563,820","708,959,000"
08/01/17,0.256665,0.296267,0.249623,0.29022,"5,169,910","713,408,000"
