time,close,high,low,open,volumefrom,volumeto
6/12/17,0.587,0.589,0.538,0.553,161426.23,89085.41
6/13/17,0.5202,0.6101,0.4795,0.587,7787676.04,4344736.61
6/14/17,0.3467,0.5447,0.2912,0.5202,7000426.55,2692774.42
6/15/17,0.4082,0.599,0.3053,0.3467,4597565.28,1856841.43
6/16/17,0.428,0.4512,0.4,0.4082,1420569.52,621843.92
6/17/17,0.4056,0.4502,0.385,0.428,1750619.58,721362.16
6/18/17,0.4254,0.435,0.395,0.4056,1892675.33,788031.74
6/19/17,0.4405,0.4472,0.411,0.4254,3237173.52,1391030.51
6/20/17,0.425,0.4624,0.415,0.4405,3452775.42,1528267.73
6/21/17,0.4373,0.4499,0.4114,0.425,1080144.98,469852.99
6/22/17,0.4828,0.4828,0.433,0.4373,2032487.41,928587.38
6/23/17,0.5053,0.6289,0.4767,0.4828,8837602.32,4740587.88
6/24/17,0.4653,0.5214,0.4401,0.5053,3520504.53,1703301.11
6/25/17,0.408,0.4659,0.3401,0.4653,7085310.69,2768817.18
6/26/17,0.394,0.42,0.3483,0.408,3234594.27,1203247.79
6/27/17,0.373,0.4,0.3511,0.394,3368526.85,1253777.64
6/28/17,0.411,0.4599,0.3619,0.373,3891253.43,1584486.13
6/29/17,0.398,0.449,0.393,0.411,2515882.89,1067713.9
6/30/17,0.3811,0.4129,0.3701,0.398,1674370.12,652067.24
7/1/17,0.3769,0.39,0.36,0.3811,2263056.22,844293.52
7/2/17,0.376,0.385,0.35,0.3769,3701676.2,1359272.25
7/3/17,0.3938,0.4098,0.3702,0.376,2878223.12,1125489.28
7/4/17,0.381,0.3987,0.3681,0.3938,2263969.04,863813.51
7/5/17,0.3529,0.3851,0.3033,0.381,11062853.35,3900424.83
7/6/17,0.2822,0.3565,0.27,0.3529,11922084.97,3609902.57
7/7/17,0.3003,0.3202,0.2751,0.2822,5118092.36,1520087.14
7/8/17,0.3,0.3125,0.2829,0.3003,3015785.4,890516.44
7/9/17,0.21,0.3041,0.1837,0.3,22282579.66,5293153.58
7/10/17,0.1869,0.2342,0.1837,0.21,14908969.2,3058761.07
7/11/17,0.2288,0.2395,0.1806,0.1869,11054527.8,2368342.47
7/12/17,0.2129,0.239,0.1875,0.2288,8095470.54,1734332.96
7/13/17,0.1751,0.2131,0.1602,0.2129,7659140.45,1387804.38
7/14/17,0.1582,0.1763,0.1427,0.1751,14448005.6,2300326.05
7/15/17,0.178,0.188,0.155,0.1582,10917140.18,1875735.61
7/16/17,0.264,0.28,0.1767,0.178,31530878.5,7501485.51
7/17/17,0.268,0.3123,0.246,0.264,23208009.31,6662405.47
7/18/17,0.2314,0.2849,0.23,0.268,14714558.17,3743265.21
7/19/17,0.2937,0.3043,0.2302,0.2314,19144496.67,5315105.79
7/20/17,0.2595,0.3078,0.2452,0.2937,12943901,3636831.77
7/21/17,0.2716,0.2785,0.2536,0.2595,7316318.27,1939472.06
7/22/17,0.2649,0.28,0.2551,0.2716,5929771.25,1593315.19
7/23/17,0.2674,0.273,0.2361,0.2649,8621035.46,2220573.81
7/24/17,0.25,0.2688,0.2365,0.2674,5812978.35,1446892.54
7/25/17,0.2744,0.2845,0.2409,0.25,7691746.13,2065440.88
7/26/17,0.273,0.285,0.2711,0.2744,5908210.85,1651638.82
7/27/17,0.2651,0.2765,0.262,0.273,2960404.33,796168.91
7/28/17,0.2767,0.278,0.243,0.2651,4358656.07,1128288.59
7/29/17,0.2547,0.278,0.2502,0.2767,5704150.99,1501265.3
7/30/17,0.254,0.26,0.244,0.2547,3066892.64,773989.65
7/31/17,0.291,0.294,0.2493,0.254,8514788.19,2347482.87
8/1/17,0.286,0.2939,0.2715,0.291,5868945.76,1648046.55
8/2/17,0.3319,0.3392,0.285,0.286,15204322.74,4840708.12
8/3/17,0.3937,0.4217,0.3315,0.3319,27901145.28,10843695.28
8/4/17,0.408,0.4316,0.3601,0.3937,13568999.12,5470090.43
8/5/17,0.4299,0.44,0.395,0.408,7309276.38,3009963.21
8/6/17,0.474,0.49,0.411,0.4299,16380152.02,7548723.71
8/7/17,0.5481,0.5517,0.4555,0.474,24508777.23,12388072.14
8/8/17,0.53,0.557,0.5091,0.5481,13744978.15,7327836.72
8/9/17,0.5624,0.5892,0.5069,0.53,16563596.03,9248787.67
8/10/17,0.6547,0.7177,0.5561,0.5624,33822757.87,21531470.05
8/11/17,0.72,0.73,0.6128,0.6547,14542272.48,9820988.83
8/12/17,0.8043,0.83,0.69,0.72,27685362.89,21556762.13
8/13/17,0.972,0.9797,0.7914,0.8043,29517932.21,26409161.02
8/14/17,0.917,0.995,0.75,0.972,58078671.85,52308601.71
8/15/17,1.04,1.05,0.8633,0.917,28964930.72,27864845.33
8/16/17,1.01,1.1,0.99,1.04,30617347.55,32346022.62
8/17/17,0.867,1.04,0.7611,1.01,43747136.4,39410054.57
8/18/17,0.9791,0.9859,0.77,0.867,25783279.94,22702552.94
8/19/17,0.9101,1.03,0.91,0.9791,18405481.79,18096283.61
8/20/17,0.8659,0.9408,0.84,0.9101,16496645.08,14615207.33
